model,input_per_1m,cached_input_per_1m,output_per_1m,source,fetched_at_utc
gpt-4,30.0,0.0,60.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4-0125-preview,10.0,0.0,30.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4-0314,30.0,0.0,60.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4-0613,30.0,0.0,60.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4-1106-preview,10.0,0.0,30.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4-turbo,10.0,0.0,30.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4-turbo-preview,10.0,0.0,30.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4.1,2.0,0.5,8.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4.1-mini,0.39999999999999997,0.09999999999999999,1.5999999999999999,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4.1-nano,0.09999999999999999,0.024999999999999998,0.39999999999999997,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4o,2.5,1.25,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4o-mini,0.15,0.075,0.6,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4o-mini-realtime-preview,0.6,0.3,2.4,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4o-mini-search-preview,0.15,0.075,0.6,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4o-realtime-preview,5.0,2.5,20.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-4o-search-preview,2.5,1.25,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5-chat,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5-chat-latest,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5-codex,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5-mini,0.25,0.024999999999999998,2.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5-nano,0.049999999999999996,0.005,0.39999999999999997,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5-pro,15.0,7.5,120.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5-search-api,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.1,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.1-chat-latest,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.1-codex,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.1-codex-max,1.25,0.125,10.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.1-codex-mini,0.25,0.024999999999999998,2.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.2,1.75,0.175,14.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.2-chat-latest,1.75,0.175,14.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.2-codex,1.75,0.175,14.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.2-pro,21.0,0.0,168.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.3-chat-latest,1.75,0.175,14.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.3-codex,1.75,0.175,14.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.4,2.5,0.25,15.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.4-mini,0.75,0.075,4.5,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.4-nano,0.19999999999999998,0.02,1.25,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.4-pro,30.0,3.0,180.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.5,5.0,0.5,30.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-5.5-pro,30.0,3.0,180.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-realtime,4.0,0.39999999999999997,16.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-realtime-1.5,4.0,0.39999999999999997,16.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
gpt-realtime-mini,0.6,0.0,2.4,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o1,15.0,7.5,60.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o1-pro,150.0,75.0,600.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o3,2.0,0.5,8.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o3-deep-research,10.0,2.5,40.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o3-mini,1.1,0.55,4.4,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o3-pro,20.0,10.0,80.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o4-mini,1.1,0.275,4.4,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
o4-mini-deep-research,2.0,0.5,8.0,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-04-30T22:33:24Z
